,title,streetaddress,localaddress,phone,email
0,"BALTIJOS OPENA, UAB",Austėjos g. 4,"NAUJASODŽIŲ VS., AVIŽIENIŲ SEN., VILNIAUS R.",+370 65271666,opena@baltijosopena.eu
1,"BALTIJOS PREKYBA, UAB",Vaduvos g. 2A,VILNIUS,+370 67260550,info@baltijos-prekyba.lt
2,"BARDUVA, UAB",Liepkalnio g. 61,VILNIUS,+370 52310770,vilnius@barduva.lt
3,"BETA SISTEMOS, UAB",Molėtų pl. 47,VILNIUS,+370 68716666,valdas.jonaitis@aptverimas.lt
4,Betafence atstovas Baltijos šalyse,,VILNIUS,+370 69888768,info@betafence.lt
5,"DARMONTA, UAB",,"GERVĖNUPIO K., SAMYLŲ SEN., KAUNO R.",+370 65768851,darmonta@gmail.com
6,"DARUS, UAB",Jaunimo a. 22,KAUNAS,+370 37777141,info@darus.lt
7,"DEFENSAS, UAB",Metalo g. 8,VILNIUS,+370 61112727,info@defensas.lt
8,"EGLARTA, UAB",Sėmenos g. 52B,"PATAMULŠĖLIO K., ROKŲ SEN., KAUNO R.",+370 65198513,gtvoros@gmail.com
9,"EKSPERTAI, UAB",Naugarduko g. 97,VILNIUS,+370 60677732,info@ekspert.lt
10,"ESA GROUP, UAB",Vaškų g. 4,KAUNAS,+370 65093222,info@esa.lt
11,"EUROLAIKAS, UAB",Laisvės pr. 121 -65,VILNIUS,+370 52463333,info@eurolaikas.lt
12,"EXPERTDOOR, UAB",Santaikos g. 31A,ALYTUS,+370 31551172,info@expertdoor.lt
13,"EXPOLITA, UAB",Ligoninės g. 8,ALYTUS,+370 60000374,info@expolita.lt
14,"GAJAUSTA, UAB",K. Petrausko g. 8 -1,KAUNAS,+370 37328114,info@gajausta.lt
15,"GARAŽŲ VARTAI, UAB",Paliūniškio g. 2A,PANEVĖŽYS,+370 68627578,info@vartaigarazui.lt
16,"GIRONA, UAB",Demokratų g. 53,KAUNAS,+370 68625800,info@girona.lt
17,"HORMANN BALTIC, UAB",2,"BUDNINKŲ K., MAIŠIAGALOS SEN., VILNIAUS R.",+370 80000017,info@hormann.lt
18,"IDOMUS, UAB",Chemijos g. 27,KAUNAS,+370 37308900,info@idomus.lt
19,"ISVETA IR KO, UAB filialas",Kauno g. 34,VILNIUS,+370 52333484,info@isveta.lt
20,"ISVETA IR KO, UAB filialas",Savanorių pr. 196,KAUNAS,+370 37333300,info@isveta.lt
21,"BALTIJOS OPENA, UAB",Austėjos g. 4,"NAUJASODŽIŲ VS., AVIŽIENIŲ SEN., VILNIAUS R.",+370 65271666,opena@baltijosopena.eu
22,"ISVETA IR KO, UAB filialas",Taikos pr. 20,KLAIPĖDA,+370 46382211,klaipeda@isveta.lt
23,"ISVETA IR KO, UAB filialas",Tilžės g. 225,ŠIAULIAI,+370 60023287,klaipeda@isveta.lt
24,J. Jurgaičio individuali veikla,Kniaudiškių g. 99A,PANEVĖŽYS,+370 69978469,garazuvartai@inbox.lt
25,"KIEMO PROJEKTAI, UAB",Europos pr. 122,KAUNAS,+370 68328017,kaunas@kiemoprojektai.lt
26,"KOKYBA, MB",Vaduvos g. 12 -23,VILNIUS,+370 64592882,vartuautomatika.net@gmail.com
27,"KREIVAS KAMINĖLIS, kalvių gaminiai",,"RAINIŲ K., VIEŠVĖNŲ SEN., TELŠIŲ R.",+370 65784327,kreivaskaminelis@super.lt
28,"LAIKSEKA, UAB",Vytauto g. 20,ŠIAULIAI,+370 41421656,laikseka@laikseka.lt
29,"LOREKSTA, UAB",Šaulių g. 27A,ŠAKIAI,+370 65758525,loreksta@gmail.com
30,"MASTERIS LT, UAB",Žiburių g. 19,GARGŽDAI,+370 64742537,a.andrejauskas@gmail.com
31,"MEDIENOS GAMINIAI, PREKYBA PJAUTINE MEDIENA, UAB VAIDO MEDIS",Sodų g. 49,"ZINIŪNŲ K., JONIŠKIO SEN., JONIŠKIO R.",+370 60682658,vaidomedis@gmail.com
32,"METALIKA, UAB",Nemuno g. 51,PANEVĖŽYS,+370 65505745,info@metalika.lt
33,"ML VOKIŠKI VARTAI, UAB",Pramonės pr. 15A,KAUNAS,+370 37407706,marijus@vokiskivartai.lt
34,"MONTESTA, UAB",Likiškėlių g. 106A,ALYTUS,+370 68683650,info@montesta.lt
35,"MONTVILA, UAB",Švitrigailos g. 7 /Vivulskio g. 16,VILNIUS,+370 69590602,info@montvila.lt
36,"NT GRUPĖ, UAB",Elektrėnų g. 1E,KAUNAS,+370 60020229,vartaidurys@gmail.com
37,"OMETA, UAB filialas",Gedvydžių g. 13,VILNIUS,+370 52761885,vilnius@ometa.lt
38,"Plieno magija, UAB",Pagubės Sodų 8-oji g. 6,VILNIUS,+370 67701500,info@givistatybosprojektai.lt
39,"PROLOGIKA, UAB",Ateities g. 10A,VILNIUS,+370 52725532,info@prologika.lt
40,"PROMES LT, UAB",Dubijos g. 20,ŠIAULIAI,+370 67202747,erikas@promes.lt
41,"RIKMONTA, UAB",Kryžiokų Sodų 6-oji g. 63,VILNIUS,+370 65202835,info@rikmonta.lt
42,"BALTIJOS OPENA, UAB",Austėjos g. 4,"NAUJASODŽIŲ VS., AVIŽIENIŲ SEN., VILNIAUS R.",+370 65271666,opena@baltijosopena.eu
43,"ROMODA, UAB",Gedimino g. 22,MARIJAMPOLĖ,+370 34354944,uab.romoda@gmail.com
44,"RYTERNA GROUP, UAB",Inovacijų g. 5,"BIRULIŠKIŲ K., KARMĖLAVOS SEN., KAUNO R.",+370 37490990,ryterna@ryterna.com
